# Logging started at 2025-07-25 16:09:44
# Device: A15
# Baud Rate: 115200
# Method: raw
# Frequency: 200
# Threshold: 65
# Pd Delay: max
# Output Method: macbook

1753474185.9773865, 54 ms
1753474186.8481877, 51 ms
1753474187.759022, 48 ms
1753474188.6351044, 51 ms
1753474189.5015914, 49 ms
1753474190.3164277, 47 ms
1753474191.2172267, 49 ms
1753474192.1131003, 55 ms
1753474193.0039847, 57 ms
1753474193.829684, 47 ms
1753474194.6003985, 44 ms
1753474195.2567544, 49 ms
1753474195.8714437, 52 ms
1753474196.607767, 49 ms
1753474197.3928692, 58 ms
1753474198.108477, 48 ms
1753474199.629825, 49 ms
1753474200.3564713, 57 ms
1753474200.9761634, 51 ms
1753474201.6365924, 55 ms
1753474202.3172631, 53 ms
1753474202.94813, 56 ms
1753474203.493139, 54 ms
