# Logging started at 2025-07-25 17:14:13
# Device: A15
# Baud Rate: 115200
# Method: raw
# Frequency: 200
# Threshold: 65
# Pd Delay: max
# Output Method: max_mod2

1753478058.1293488, 23 ms
1753478058.588516, 18 ms
1753478059.0039942, 18 ms
1753478066.0767252, 24 ms
1753478066.4168928, 21 ms
1753478066.7535973, 20 ms
1753478067.1222472, 30 ms
1753478067.4165468, 17 ms
1753478067.7473557, 20 ms
1753478068.0610595, 20 ms
1753478068.3905663, 29 ms
1753478068.6967778, 23 ms
1753478069.0011396, 15 ms
1753478069.3204722, 22 ms
1753478069.6302605, 30 ms
1753478069.9416623, 22 ms
1753478070.2513561, 27 ms
1753478070.5557737, 19 ms
1753478070.8847878, 22 ms
1753478071.189819, 24 ms
1753478071.480352, 21 ms
1753478071.7908866, 21 ms
1753478072.091015, 27 ms
1753478072.3855453, 13 ms
1753478072.6804378, 14 ms
1753478072.976076, 17 ms
1753478073.255678, 23 ms
1753478073.52641, 19 ms
1753478073.8157628, 19 ms
1753478074.1049635, 19 ms
1753478074.54032, 25 ms
1753478074.9291253, 27 ms
1753478075.3801033, 27 ms
1753478075.993818, 22 ms
1753478076.5098236, 24 ms
1753478077.0236754, 30 ms
1753478077.5185251, 26 ms
