# Logging started at 2025-07-25 16:20:41
# Device: A15
# Baud Rate: 115200
# Method: raw
# Frequency: 200
# Threshold: 65
# Pd Delay: max
# Output Method: max_modified

1753474842.0140502, 14 ms
1753474842.4932272, 16 ms
1753474842.949894, 23 ms
1753474843.4282799, 17 ms
1753474843.9078808, 15 ms
1753474844.3642175, 13 ms
1753474844.822709, 20 ms
1753474845.4791937, 18 ms
1753474845.997547, 18 ms
1753474846.5093842, 28 ms
1753474846.9840543, 20 ms
1753474847.5024953, 22 ms
1753474847.9926407, 27 ms
1753474848.4531085, 18 ms
1753474848.9373918, 18 ms
1753474849.4272442, 26 ms
1753474849.8775346, 20 ms
1753474850.3383276, 18 ms
1753474850.822064, 25 ms
1753474851.5782351, 18 ms
1753474852.0719206, 28 ms
1753474852.5272017, 25 ms
1753474852.9934971, 18 ms
1753474853.468767, 23 ms
1753474853.9280305, 20 ms
1753474854.3868852, 27 ms
1753474854.8465297, 24 ms
1753474855.3218873, 27 ms
1753474855.7780824, 18 ms
1753474856.22626, 26 ms
