record_time_perf,tap_number,frame_age_ms,t_read_total_ms,t_frameacq_ms,t_getts_ms,t_frameconv_ms,detect_time_ms,frames_folder,timestamp_perf_counter,latency_ms,match_dt_ms
77735.292721186,36,1.609976,1.608945,1.443514,0.003636,0.158268,3.113953,run_tableB_20250812_173628/frames/trial_0036_20250812_173712,77735.300291197,20.0,7.570011002826504
77736.237441676,37,1.43619,1.853244,1.704966,0.002464,0.143219,3.577886,run_tableB_20250812_173628/frames/trial_0037_20250812_173713,77736.245378226,16.0,7.936549998703413
77737.172656127,38,0.646034,1.730233,1.582344,0.002595,0.141867,2.79257,run_tableB_20250812_173628/frames/trial_0038_20250812_173714,77737.180319092,11.0,7.662964999326505
77738.069708859,39,0.839939,1.742676,1.576944,0.002785,0.158979,2.885975,run_tableB_20250812_173628/frames/trial_0039_20250812_173715,77738.079832029,12.0,10.123170010047032
77738.977888768,40,0.905201,1.786238,1.644612,0.002024,0.136837,2.840791,run_tableB_20250812_173628/frames/trial_0040_20250812_173716,77738.985360173,10.0,7.471404998796061
77739.92562656,41,0.455376,1.792771,1.653238,0.002715,0.133962,2.778192,run_tableB_20250812_173628/frames/trial_0041_20250812_173717,77739.93501585,12.0,9.38929000403732
77740.803798299,42,1.001803,1.759487,1.615828,0.002885,0.137769,2.774836,run_tableB_20250812_173628/frames/trial_0042_20250812_173718,77740.810432851,10.0,6.634551988099702
77741.76550519,43,0.949595,1.792279,1.652496,0.002755,0.134223,2.937252,run_tableB_20250812_173628/frames/trial_0043_20250812_173719,77741.775009567,12.0,9.504377012490297
77742.625443473,44,2.04288,1.709373,1.502805,0.003517,0.179037,3.110878,run_tableB_20250812_173628/frames/trial_0044_20250812_173720,77742.6349904,14.0,9.546926987241022
77743.603967128,45,0.252454,1.864636,1.695968,0.002344,0.163688,2.787159,run_tableB_20250812_173628/frames/trial_0045_20250812_173721,77743.610369493,13.0,6.402365004760213
77744.497992599,46,1.40974,1.868803,1.719332,0.002525,0.144051,2.780537,run_tableB_20250812_173628/frames/trial_0046_20250812_173722,77744.50541909,10.0,7.426490992656909
77745.43293066,47,1.187823,1.817276,1.616719,0.002865,0.194877,2.990222,run_tableB_20250812_173628/frames/trial_0047_20250812_173723,77745.440335189,14.0,7.404529009363614
77746.329287513,48,1.039024,1.900392,1.720375,0.001963,0.175851,2.78738,run_tableB_20250812_173628/frames/trial_0048_20250812_173723,77746.335629245,9.0,6.341732005239464
77747.212025185,49,0.396997,1.785085,1.600168,0.002745,0.179347,2.780777,run_tableB_20250812_173628/frames/trial_0049_20250812_173724,77747.220341619,13.0,8.316434003063478
77748.082693839,50,0.908588,1.90439,1.724291,0.003797,0.173266,4.784684,run_tableB_20250812_173628/frames/trial_0050_20250812_173725,77748.090547353,15.0,7.853514005546458
77748.998809867,51,0.838036,2.038391,1.390304,0.002545,0.642528,2.834999,run_tableB_20250812_173628/frames/trial_0051_20250812_173726,77749.006193056,13.0,7.38318900403101
77749.846803365,52,0.2125,1.774916,1.63836,0.002435,0.131647,2.919688,run_tableB_20250812_173628/frames/trial_0052_20250812_173727,77749.855276714,10.0,8.473349007545039
77750.710733131,53,0.06359,1.837544,1.692342,0.003156,0.139131,2.704344,run_tableB_20250812_173628/frames/trial_0053_20250812_173728,77750.720084941,14.0,9.351810003863648
77751.589359154,54,0.3301,2.385615,1.636266,0.002946,0.741804,2.793151,run_tableB_20250812_173628/frames/trial_0054_20250812_173729,77751.599873339,15.0,10.51418500719592
77752.623952511,55,0.235803,1.787921,1.639452,0.003006,0.142598,3.92577,run_tableB_20250812_173628/frames/trial_0055_20250812_173730,77752.630494749,10.0,6.54223799938336
77753.568130291,56,0.512974,1.805414,1.661513,0.002575,0.1385,3.453913,run_tableB_20250812_173628/frames/trial_0056_20250812_173731,77753.575700091,12.0,7.569800000055693
77754.495437116,57,1.110087,1.791307,1.64379,0.003277,0.141095,2.865347,run_tableB_20250812_173628/frames/trial_0057_20250812_173732,77754.504947364,14.0,9.510247997241096
77755.444029975,58,1.504989,1.726175,1.562818,0.002916,0.156444,2.797418,run_tableB_20250812_173628/frames/trial_0058_20250812_173733,77755.454897054,14.0,10.86707900685724
77756.316625141,59,0.307528,1.812728,1.659109,0.002024,0.149351,2.817706,run_tableB_20250812_173628/frames/trial_0059_20250812_173733,77756.325212875,14.0,8.587734002503566
77757.351090958,60,0.700036,1.705607,1.563229,0.004629,0.134402,2.736024,run_tableB_20250812_173628/frames/trial_0060_20250812_173734,77757.360159286,17.0,9.068327999557368
77758.221927197,61,0.706518,1.773825,1.255139,0.001904,0.514367,3.139301,run_tableB_20250812_173628/frames/trial_0061_20250812_173735,77758.230291912,12.0,8.364715002244338
77759.165564261,62,0.655001,1.720615,1.578337,0.002966,0.135985,2.811325,run_tableB_20250812_173628/frames/trial_0062_20250812_173736,77759.175108543,15.0,9.544282002025284
77760.046118278,63,1.766871,1.80322,1.651835,0.002595,0.146265,2.701388,run_tableB_20250812_173628/frames/trial_0063_20250812_173737,77760.055112255,20.0,8.99397699686233
77760.89988572,64,0.75014,1.791488,1.635955,0.003026,0.148549,2.70208,run_tableB_20250812_173628/frames/trial_0064_20250812_173738,77760.906202244,9.0,6.316523998975754
77761.976976806,65,1.661143,1.815603,1.666883,0.003427,0.141786,2.821804,run_tableB_20250812_173628/frames/trial_0065_20250812_173739,77761.985230412,11.0,8.253605992649682
77762.846187099,66,0.870075,1.883541,1.724011,0.003427,0.153568,2.696398,run_tableB_20250812_173628/frames/trial_0066_20250812_173740,77762.855157702,8.0,8.97060299757868
77763.664986617,67,0.932653,1.775508,1.639592,0.002454,0.131027,3.03699,run_tableB_20250812_173628/frames/trial_0067_20250812_173741,77763.674906795,14.0,9.920177995809354
77764.547378519,68,2.118362,1.800144,1.668406,0.002234,0.126989,2.832264,run_tableB_20250812_173628/frames/trial_0068_20250812_173742,77764.555391923,11.0,8.013404003577307
77765.423739403,69,0.81403,1.869795,1.67032,0.002995,0.193334,2.721907,run_tableB_20250812_173628/frames/trial_0069_20250812_173743,77765.434936292,15.0,11.19688899780158
77766.291220715,70,0.093185,1.871528,1.68107,0.002454,0.183936,2.857041,run_tableB_20250812_173628/frames/trial_0070_20250812_173743,77766.300199825,12.0,8.979110003565438
77767.103833263,71,1.969933,1.779105,1.645033,0.002515,0.128672,2.777571,run_tableB_20250812_173628/frames/trial_0071_20250812_173744,77767.110605974,11.0,6.772710999939591
77767.940542117,72,1.029986,1.801767,1.660732,0.002975,0.135144,2.820412,run_tableB_20250812_173628/frames/trial_0072_20250812_173745,77767.950089886,12.0,9.54776900471188
77768.735703159,73,2.030036,2.1807,1.783693,0.005921,0.387168,2.912205,run_tableB_20250812_173628/frames/trial_0073_20250812_173746,77768.745011447,14.0,9.308287990279496
77769.532288828,74,1.081152,1.738278,1.602172,0.002114,0.131337,3.301036,run_tableB_20250812_173628/frames/trial_0074_20250812_173747,77769.540452284,14.0,8.16345599014312
77770.328145727,75,1.715916,1.859716,1.72309,0.002554,0.131367,2.896204,run_tableB_20250812_173628/frames/trial_0075_20250812_173747,77770.335735665,16.0,7.589937988086604
77771.371422157,76,2.313369,1.996824,1.649601,0.004909,0.338126,3.608844,run_tableB_20250812_173628/frames/trial_0076_20250812_173748,77771.380223502,17.0,8.801345000392757
77772.207424604,77,1.650332,1.847042,1.694395,0.002726,0.147226,2.92073,run_tableB_20250812_173628/frames/trial_0077_20250812_173749,77772.215365502,16.0,7.940897994558327
77773.078075354,78,0.446941,1.265258,0.999839,0.003336,0.258576,2.69693,run_tableB_20250812_173628/frames/trial_0078_20250812_173750,77773.085547831,10.0,7.472476994735189
77773.942540627,79,0.385535,1.767252,1.62248,0.003386,0.136978,3.046517,run_tableB_20250812_173628/frames/trial_0079_20250812_173751,77773.950355037,11.0,7.814409997081384
77774.818604643,80,0.933044,1.823158,1.592614,0.002905,0.224612,2.767643,run_tableB_20250812_173628/frames/trial_0080_20250812_173752,77774.826294819,9.0,7.690175989409909
77775.687548004,81,1.362983,1.650843,1.010098,0.002475,0.635565,2.755931,run_tableB_20250812_173628/frames/trial_0081_20250812_173753,77775.695413139,15.0,7.865134990424849
77776.626995541,82,0.52135,1.884082,1.727517,0.003747,0.149441,2.842223,run_tableB_20250812_173628/frames/trial_0082_20250812_173754,77776.635460925,12.0,8.465384002192877
77777.590411897,83,0.323318,1.807829,1.618272,0.003607,0.171963,2.955526,run_tableB_20250812_173628/frames/trial_0083_20250812_173755,77777.600051718,16.0,9.639820986194536
77778.513213082,84,1.53222,1.769417,1.628892,0.003006,0.134442,3.060253,run_tableB_20250812_173628/frames/trial_0084_20250812_173756,77778.520975434,11.0,7.762352004647255
77779.427216328,85,1.584348,1.855298,1.689987,0.002614,0.159981,3.106389,run_tableB_20250812_173628/frames/trial_0085_20250812_173757,77779.435477929,10.0,8.261601004051045
77780.335129867,86,1.352894,1.773464,1.633641,0.002364,0.135275,3.105458,run_tableB_20250812_173628/frames/trial_0086_20250812_173757,77780.345076315,12.0,9.94644800084643
77781.175674122,87,0.453753,1.608964,1.164689,0.00519,0.435128,2.765859,run_tableB_20250812_173628/frames/trial_0087_20250812_173758,77781.185068882,13.0,9.394759996212088
77782.109718352,88,1.907535,1.798972,1.652367,0.002755,0.140915,2.731084,run_tableB_20250812_173628/frames/trial_0088_20250812_173759,77782.12004278,17.0,10.324428003514186
77782.967348365,89,0.849877,1.74972,1.548611,0.002334,0.196309,2.787129,run_tableB_20250812_173628/frames/trial_0089_20250812_173800,77782.975414899,14.0,8.06653400650248
77785.182861481,90,1.147567,1.735994,1.588255,0.001984,0.143089,2.931131,run_tableB_20250812_173628/frames/trial_0090_20250812_173802,77785.19068572,13.0,7.824239000910893
77786.324512881,91,1.881267,1.842553,1.650122,0.002876,0.18635,2.865025,run_tableB_20250812_173628/frames/trial_0091_20250812_173803,77786.335054408,12.0,10.541527008172125
