record_time_perf,tap_number,frame_age_ms,t_read_total_ms,t_frameacq_ms,t_getts_ms,t_frameconv_ms,detect_time_ms,frames_folder
68763.04739799,63,0.364796,1.570101,0.941981,0.003817,0.621017,2.961126,run_tableB_20250812_150623/frames/trial_0063_20250812_150740
68764.069738474,64,0.768545,1.747465,1.573257,0.002936,0.168256,2.70785,run_tableB_20250812_150623/frames/trial_0064_20250812_150741
68765.088967829,65,0.921512,1.397637,1.031589,0.003516,0.359687,2.735582,run_tableB_20250812_150623/frames/trial_0065_20250812_150742
68766.10018913,66,1.051647,1.81415,1.625295,0.002084,0.183605,2.816625,run_tableB_20250812_150623/frames/trial_0066_20250812_150743
68767.178963762,67,0.092935,1.820312,1.662405,0.002635,0.152637,2.678054,run_tableB_20250812_150623/frames/trial_0067_20250812_150744
68768.22513295,68,0.281048,1.770579,1.584008,0.003146,0.179998,3.059241,run_tableB_20250812_150623/frames/trial_0068_20250812_150745
68769.34868717,69,0.415531,1.612953,1.472719,0.002364,0.135174,2.778282,run_tableB_20250812_150623/frames/trial_0069_20250812_150746
68770.479990687,70,0.415581,1.73916,1.608394,0.002084,0.125896,2.693172,run_tableB_20250812_150623/frames/trial_0070_20250812_150748
68771.579902183,71,1.241504,1.630666,1.494419,0.002675,0.130816,2.756602,run_tableB_20250812_150623/frames/trial_0071_20250812_150749
68772.687153656,72,0.07463,1.826304,1.693924,0.002024,0.128131,2.703973,run_tableB_20250812_150623/frames/trial_0072_20250812_150750
68773.775129054,73,0.298672,1.799443,1.568879,0.002094,0.225604,2.81399,run_tableB_20250812_150623/frames/trial_0073_20250812_150751
68774.867737921,74,1.668115,1.78698,1.646695,0.002836,0.134112,2.788271,run_tableB_20250812_150623/frames/trial_0074_20250812_150752
68775.926541781,75,1.390043,1.51089,1.175179,0.002756,0.329649,2.769867,run_tableB_20250812_150623/frames/trial_0075_20250812_150753
68777.048415011,76,1.334158,1.734931,1.592324,0.003286,0.136266,3.007494,run_tableB_20250812_150623/frames/trial_0076_20250812_150754
68778.210220868,77,1.506882,1.804893,1.671222,0.002294,0.129063,2.749649,run_tableB_20250812_150623/frames/trial_0077_20250812_150755
68779.27451076,78,0.833907,1.868262,1.708772,0.004138,0.151846,2.994539,run_tableB_20250812_150623/frames/trial_0078_20250812_150756
68780.378365468,79,1.950757,2.013886,1.727237,0.004769,0.278583,2.823638,run_tableB_20250812_150623/frames/trial_0079_20250812_150757
68781.42241915,80,0.77099,1.693583,1.558089,0.002495,0.130595,2.7023,run_tableB_20250812_150623/frames/trial_0080_20250812_150759
68782.52269522,81,1.764166,1.762754,1.575352,0.002725,0.182212,2.943884,run_tableB_20250812_150623/frames/trial_0081_20250812_150800
68783.63603033,82,0.68615,1.801697,1.422784,0.004399,0.368442,2.896936,run_tableB_20250812_150623/frames/trial_0082_20250812_150801
68784.70240411,83,0.399621,1.66499,1.139693,0.001983,0.521381,2.910832,run_tableB_20250812_150623/frames/trial_0083_20250812_150802
68785.788922568,84,1.540846,1.839859,1.701228,0.002194,0.134072,3.004377,run_tableB_20250812_150623/frames/trial_0084_20250812_150803
68786.855027092,85,1.345589,1.782251,1.625806,0.002555,0.151284,2.757593,run_tableB_20250812_150623/frames/trial_0085_20250812_150804
68787.944590364,86,1.286869,1.59542,1.443985,0.002695,0.145423,2.974171,run_tableB_20250812_150623/frames/trial_0086_20250812_150805
68788.969268352,87,1.578217,1.818448,1.629684,0.003016,0.182903,4.671582,run_tableB_20250812_150623/frames/trial_0087_20250812_150806
68790.048426935,88,0.76624,1.690418,1.474822,0.003206,0.209033,2.750671,run_tableB_20250812_150623/frames/trial_0088_20250812_150807
68791.050535396,89,1.307337,1.831213,1.682202,0.002475,0.14377,2.773003,run_tableB_20250812_150623/frames/trial_0089_20250812_150808
68792.085856972,90,1.86188,1.724482,1.130325,0.003717,0.587183,2.949224,run_tableB_20250812_150623/frames/trial_0090_20250812_150809
