record_time_perf,tap_number,frame_age_ms,t_read_total_ms,t_frameacq_ms,t_getts_ms,t_frameconv_ms,detect_time_ms,frames_folder,timestamp_perf_counter,latency_ms,match_dt_ms
68711.177966931,16,0.381618,1.959283,1.556426,0.002374,0.397858,3.068939,run_tableB_20250812_150623/frames/trial_0016_20250812_150648,68711.183079331,8.0,5.112399987410754
68712.202836749,17,0.447501,1.873272,1.200476,0.001734,0.664559,3.079259,run_tableB_20250812_150623/frames/trial_0017_20250812_150649,68712.207648014,9.0,4.811264996533282
68713.297538642,18,1.376617,1.822416,1.668777,0.002604,0.148139,4.086572,run_tableB_20250812_150623/frames/trial_0018_20250812_150650,68713.302588785,11.0,5.050142994150519
68714.359423302,19,1.587644,1.477468,1.22833,0.004238,0.241884,2.945397,run_tableB_20250812_150623/frames/trial_0019_20250812_150651,68714.367697497,12.0,8.27419500274118
68718.016768983,21,1.128942,1.914679,1.286218,0.0054,0.619154,2.782711,run_tableB_20250812_150623/frames/trial_0021_20250812_150655,68718.022627977,11.0,5.858994001755491
68719.054622729,22,1.728149,1.839929,1.678836,0.002194,0.154911,2.673766,run_tableB_20250812_150623/frames/trial_0022_20250812_150656,68719.059156522,7.0,4.533792991423979
68720.140261905,23,1.634363,1.639021,1.503686,0.002535,0.130305,2.79274,run_tableB_20250812_150623/frames/trial_0023_20250812_150657,68720.147726107,10.0,7.464201989932917
68721.283638158,24,1.904721,1.523093,1.176282,0.004428,0.339198,2.790937,run_tableB_20250812_150623/frames/trial_0024_20250812_150658,68721.288483306,11.0,4.8451479960931465
68722.352645077,25,0.196219,1.973359,1.293461,0.002254,0.671152,2.852923,run_tableB_20250812_150623/frames/trial_0025_20250812_150659,68722.357719025,9.0,5.073948006611317
68723.415385777,26,0.86698,1.72334,1.584679,0.002855,0.132639,2.730623,run_tableB_20250812_150623/frames/trial_0026_20250812_150701,68723.419165552,7.0,3.779774997383356
68724.407410011,27,0.437292,1.804392,1.516812,0.004097,0.280578,2.906353,run_tableB_20250812_150623/frames/trial_0027_20250812_150701,68724.412762092,11.0,5.352081003366038
68725.415786785,28,1.575502,1.778864,1.647577,0.002144,0.126838,2.907906,run_tableB_20250812_150623/frames/trial_0028_20250812_150703,68725.422706102,12.0,6.919317005667836
