# Logging started at 2025-08-05 14:12:10
# Device: A15
# Baud Rate: 115200
# Method: raw
# Frequency: 200
# Threshold: 80
# Pd Delay: 4
# Output Method: focusrite

1754417531.0073314, 42 ms
1754417531.5425372, 24 ms
1754417532.0117035, 24 ms
1754417532.4679518, 24 ms
1754417532.9016685, 22 ms
1754417533.341787, 24 ms
1754417533.7620938, 21 ms
1754417534.1919281, 20 ms
1754417534.6519032, 20 ms
1754417535.0973606, 17 ms
1754417535.557007, 23 ms
1754417536.0068738, 19 ms
1754417536.422054, 21 ms
1754417537.8679006, 16 ms
1754417540.3122406, 18 ms
1754417540.7869136, 22 ms
1754417541.1966841, 25 ms
1754417541.5968018, 24 ms
1754417542.0123358, 17 ms
1754417542.4122934, 26 ms
1754417542.817446, 25 ms
1754417543.2226274, 18 ms
1754417543.6374319, 18 ms
1754417544.0520217, 22 ms
1754417544.4469337, 14 ms
1754417544.8570535, 17 ms
1754417545.2867007, 16 ms
1754417545.6722891, 18 ms
1754417546.041967, 16 ms
1754417546.442678, 19 ms
1754417546.8869529, 22 ms
1754417547.2968094, 21 ms
1754417547.69708, 19 ms
1754417548.1271663, 20 ms
1754417548.5818982, 18 ms
1754417549.0026848, 19 ms
1754417549.427242, 16 ms
1754417549.8668232, 17 ms
1754417550.2869885, 18 ms
1754417550.7221909, 15 ms
1754417551.1367264, 19 ms
1754417551.557089, 18 ms
1754417551.9723063, 22 ms
1754417552.397469, 23 ms
1754417552.7924232, 17 ms
1754417553.2227025, 19 ms
1754417553.6523602, 20 ms
1754417554.076702, 18 ms
1754417554.4969704, 18 ms
1754417554.881699, 21 ms
1754417555.2781403, 22 ms
1754417555.6829472, 23 ms
1754417556.0834556, 19 ms
1754417556.4787538, 18 ms
1754417556.8536, 19 ms
1754417557.2336228, 20 ms
1754417557.6483147, 20 ms
1754417558.028226, 17 ms
1754417558.4188395, 18 ms
1754417558.7831805, 21 ms
1754417559.1530826, 16 ms
1754417559.5294783, 17 ms
1754417559.898771, 15 ms
1754417560.2736435, 18 ms
1754417560.6184042, 19 ms
1754417560.953126, 18 ms
1754417561.2893028, 15 ms
1754417561.6481361, 17 ms
1754417561.968541, 16 ms
1754417562.2930894, 20 ms
1754417562.6138895, 20 ms
1754417562.9331152, 17 ms
1754417563.2503529, 13 ms
1754417563.5640368, 14 ms
1754417563.8640082, 14 ms
1754417564.1781487, 12 ms
1754417564.4834535, 14 ms
1754417564.7980826, 20 ms
1754417565.1034944, 14 ms
1754417565.4133852, 15 ms
1754417565.7294488, 11 ms
1754417566.0495062, 16 ms
1754417566.3694277, 9 ms
1754417566.69368, 14 ms
1754417567.0083437, 16 ms
1754417567.3184443, 18 ms
1754417567.6085677, 14 ms
1754417567.9379776, 16 ms
1754417568.223453, 20 ms
1754417568.5334272, 21 ms
1754417568.8331134, 16 ms
1754417569.1381938, 19 ms
1754417569.418815, 21 ms
1754417569.703478, 23 ms
