# Logging started at 2025-08-05 14:04:39
# Device: A15
# Baud Rate: 115200
# Method: raw
# Frequency: 2000
# Threshold: 80
# Pd Delay: 3
# Output Method: aux_speaker

1754417083.7098947, 31 ms
1754417083.993886, 17 ms
1754417084.3603907, 18 ms
1754417087.1748936, 9 ms
1754417087.761874, 17 ms
1754417088.2963808, 16 ms
1754417088.8123567, 21 ms
1754417089.3243725, 15 ms
1754417089.8483722, 16 ms
1754417090.3458786, 16 ms
1754417090.8534818, 18 ms
1754417091.352357, 19 ms
1754417091.8629503, 15 ms
1754417092.414864, 16 ms
1754417092.9644065, 21 ms
1754417093.464378, 13 ms
1754417094.0628984, 14 ms
1754417094.5883808, 16 ms
1754417095.145908, 15 ms
1754417095.6988688, 11 ms
1754417096.2403653, 15 ms
1754417096.741419, 12 ms
1754417097.2668726, 17 ms
1754417097.7788856, 14 ms
1754417098.2683663, 14 ms
1754417098.7404041, 12 ms
1754417099.2700167, 13 ms
1754417099.7819076, 15 ms
1754417100.2844002, 17 ms
1754417100.7724447, 11 ms
1754417101.2748816, 16 ms
1754417101.7778783, 18 ms
1754417102.282884, 16 ms
1754417102.7708802, 14 ms
1754417103.285867, 11 ms
1754417103.8084447, 13 ms
1754417104.3214488, 14 ms
1754417104.8338807, 15 ms
1754417105.3349085, 15 ms
1754417105.8404443, 18 ms
1754417106.3334923, 11 ms
1754417106.8244221, 9 ms
1754417107.3188834, 16 ms
1754417107.793944, 10 ms
1754417108.3098807, 15 ms
1754417108.9538896, 12 ms
1754417109.5284045, 14 ms
1754417110.1044428, 14 ms
1754417110.6709125, 13 ms
1754417111.1988933, 14 ms
1754417111.685954, 14 ms
1754417112.684397, 17 ms
1754417113.1164033, 13 ms
1754417113.5549147, 14 ms
1754417114.0043983, 20 ms
1754417114.4484167, 14 ms
1754417114.8949664, 13 ms
1754417115.3349266, 15 ms
1754417115.750916, 15 ms
1754417116.1658926, 12 ms
1754417116.5909016, 13 ms
1754417117.0189893, 18 ms
1754417117.4389486, 14 ms
1754417117.8363993, 17 ms
1754417118.2219026, 11 ms
1754417118.6123798, 16 ms
1754417119.010925, 13 ms
1754417119.4179168, 17 ms
1754417119.8309245, 15 ms
1754417120.2299275, 17 ms
1754417120.6269393, 12 ms
1754417121.0149074, 14 ms
1754417121.4218912, 19 ms
1754417121.8219838, 17 ms
1754417122.2214198, 12 ms
1754417122.6218832, 14 ms
1754417123.0124164, 12 ms
1754417123.4099085, 20 ms
1754417123.828643, 14 ms
1754417124.244444, 11 ms
1754417124.6379251, 17 ms
1754417125.0109603, 11 ms
1754417125.421904, 13 ms
1754417125.8324225, 14 ms
1754417126.1964152, 10 ms
1754417126.5499234, 13 ms
1754417126.9428976, 12 ms
1754417127.3458796, 18 ms
1754417127.7694347, 15 ms
