# Logging started at 2025-07-23 17:01:57
# Device: crockett
# Baud Rate: 115200
# Method: raw
# Frequency: 200
# Threshold: 25
# Pd Delay: 3
# Output Method: aux_direct

1753304518.5820143, 8 ms
1753304519.1830049, 11 ms
1753304519.6970458, 13 ms
1753304520.1923058, 10 ms
1753304520.6920896, 13 ms
1753304521.1619513, 15 ms
1753304521.64197, 17 ms
1753304522.101989, 13 ms
1753304522.5669987, 24 ms
1753304522.9919884, 9 ms
1753304523.43704, 10 ms
1753304523.8770137, 10 ms
1753304524.73704, 7 ms
1753304525.1336489, 10 ms
1753304525.5389798, 5 ms
1753304525.9920516, 12 ms
1753304526.4119747, 11 ms
1753304526.8220491, 9 ms
1753304527.6683056, 10 ms
1753304528.1176386, 13 ms
1753304528.7576253, 14 ms
1753304529.427077, 11 ms
1753304530.1520376, 10 ms
1753304531.4670484, 13 ms
1753304532.173638, 8 ms
1753304532.7920015, 11 ms
1753304533.4069695, 13 ms
1753304534.0122974, 10 ms
1753304534.5483031, 13 ms
1753304535.067061, 12 ms
1753304535.6123059, 6 ms
1753304536.1323094, 9 ms
1753304536.6776457, 9 ms
1753304537.1870565, 10 ms
1753304537.7421024, 7 ms
1753304538.2376356, 6 ms
1753304539.252033, 8 ms
1753304539.7569857, 7 ms
1753304540.2789676, 5 ms
1753304540.7320275, 8 ms
1753304541.196954, 8 ms
1753304541.657603, 5 ms
1753304542.5736074, 5 ms
1753304543.3670297, 8 ms
1753304547.8976555, 12 ms
1753304548.6020076, 6 ms
1753304549.198948, 8 ms
1753304549.7870226, 12 ms
1753304550.8670428, 7 ms
1753304551.3870525, 7 ms
1753304551.8570073, 10 ms
1753304552.2670155, 7 ms
