# Logging started at 2025-08-05 14:07:26
# Device: A15
# Baud Rate: 115200
# Method: raw
# Frequency: 200
# Threshold: 80
# Pd Delay: 3
# Output Method: aux_speaker

1754417247.1603487, 14 ms
1754417247.5496361, 21 ms
1754417247.9250696, 17 ms
1754417248.3199575, 17 ms
1754417248.6719286, 15 ms
1754417249.0599754, 19 ms
1754417249.425499, 16 ms
1754417249.7800832, 19 ms
1754417250.1450772, 15 ms
1754417250.520324, 20 ms
1754417250.8900752, 17 ms
1754417251.2800593, 18 ms
1754417251.6501198, 14 ms
1754417252.0349345, 17 ms
1754417252.4003072, 17 ms
1754417252.7650397, 14 ms
1754417253.1307974, 13 ms
1754417253.4961963, 15 ms
1754417253.874949, 18 ms
1754417254.2445383, 15 ms
1754417254.6103017, 13 ms
1754417254.9700716, 11 ms
1754417255.3307862, 13 ms
1754417255.6962337, 14 ms
1754417256.0698814, 15 ms
1754417256.4598143, 13 ms
1754417256.8349283, 14 ms
1754417257.9147067, 18 ms
1754417258.2748563, 11 ms
1754417258.665635, 49 ms
1754417258.994953, 19 ms
1754417259.3361812, 9 ms
1754417259.7050023, 16 ms
1754417260.0799828, 14 ms
1754417260.4549658, 15 ms
1754417260.8003497, 12 ms
1754417261.176227, 15 ms
1754417261.5797267, 20 ms
1754417261.9297624, 16 ms
1754417262.3055632, 15 ms
1754417262.7450967, 12 ms
1754417263.1749718, 17 ms
1754417263.5850368, 10 ms
1754417263.985103, 10 ms
1754417264.4198864, 19 ms
1754417264.8552125, 7 ms
1754417265.3099005, 11 ms
1754417265.7600586, 14 ms
1754417266.214957, 17 ms
1754417266.6655796, 17 ms
1754417267.1152067, 16 ms
1754417267.540064, 14 ms
1754417267.9747543, 13 ms
1754417268.4246356, 17 ms
1754417268.8752444, 13 ms
1754417269.3055995, 13 ms
1754417270.1598513, 13 ms
1754417270.5697806, 14 ms
1754417271.0001326, 16 ms
1754417271.4097793, 17 ms
1754417271.829942, 13 ms
1754417272.2604198, 16 ms
1754417272.700451, 14 ms
1754417273.1297283, 19 ms
1754417273.6148188, 18 ms
1754417274.1148255, 14 ms
1754417274.605206, 14 ms
1754417275.099852, 20 ms
1754417275.5849109, 16 ms
1754417276.0564933, 14 ms
1754417276.5302057, 15 ms
1754417276.9947977, 18 ms
1754417277.465649, 16 ms
1754417277.9554036, 20 ms
1754417278.440117, 17 ms
1754417278.9056299, 14 ms
1754417279.376332, 19 ms
1754417279.8564475, 17 ms
1754417280.3204856, 14 ms
1754417280.7900267, 17 ms
1754417281.274857, 17 ms
1754417281.7204826, 13 ms
1754417282.1849704, 17 ms
1754417282.640476, 15 ms
1754417283.1100712, 17 ms
1754417283.5648339, 16 ms
1754417284.0154278, 15 ms
1754417284.5205328, 14 ms
1754417284.9909523, 15 ms
1754417285.4297903, 15 ms
1754417285.860617, 13 ms
1754417286.3052447, 17 ms
1754417286.7199376, 16 ms
1754417287.1564214, 15 ms
1754417287.5953894, 17 ms
1754417288.0298445, 17 ms
1754417288.485253, 25 ms
1754417288.9351673, 18 ms
1754417289.3749783, 18 ms
1754417289.80505, 10 ms
1754417290.284784, 11 ms
1754417290.7354574, 17 ms
1754417291.1805534, 12 ms
1754417291.7001295, 27 ms
1754417292.12024, 21 ms
1754417292.5603046, 15 ms
1754417292.9550636, 17 ms
